          #r                      g1                      g12
  0.0000000000000000E+00  0.4569780643626838E+01  0.1828216639185278E+00
  0.1000000000000000E-04  0.4569780045449036E+01  0.1828216645599750E+00
  0.2000000000000000E-04  0.4569778250932832E+01  0.1828216664842177E+00
  0.3000000000000000E-04  0.4569775260129982E+01  0.1828216696912085E+00
  0.4000000000000000E-04  0.4569771073124367E+01  0.1828216741811891E+00
  0.5000000000000000E-04  0.4569765690036736E+01  0.1828216799536614E+00
  0.6000000000000000E-04  0.4569759111021241E+01  0.1828216870092246E+00
  0.6999999999999999E-04  0.4569751336265654E+01  0.1828216953473684E+00
  0.8000000000000001E-04  0.4569742365990408E+01  0.1828217049683249E+00
  0.9000000000000001E-04  0.4569732200453610E+01  0.1828217158721029E+00
  0.1000000000000000E-03  0.4569720839944675E+01  0.1828217280585586E+00
  0.1100000000000000E-03  0.4569708284787865E+01  0.1828217415280632E+00
  0.1200000000000000E-03  0.4569694535341270E+01  0.1828217562800472E+00
  0.1300000000000000E-03  0.4569679591998447E+01  0.1828217723146874E+00
  0.1400000000000000E-03  0.4569663455184387E+01  0.1828217896322659E+00
  0.1500000000000000E-03  0.4569646125361278E+01  0.1828218082322390E+00
  0.1600000000000000E-03  0.4569627603021440E+01  0.1828218281150461E+00
  0.1700000000000000E-03  0.4569607888693365E+01  0.1828218492805516E+00
  0.1800000000000000E-03  0.4569586982940450E+01  0.1828218717287632E+00
  0.1900000000000000E-03  0.4569564886357128E+01  0.1828218954593179E+00
  0.2000000000000000E-03  0.4569541599573678E+01  0.1828219204725497E+00
  0.2100000000000000E-03  0.4569517123253964E+01  0.1828219467683289E+00
  0.2200000000000000E-03  0.4569491458093798E+01  0.1828219743465507E+00
  0.2300000000000000E-03  0.4569464604824939E+01  0.1828220032074483E+00
  0.2400000000000000E-03  0.4569436564210894E+01  0.1828220333507785E+00
  0.2500000000000000E-03  0.4569407337049441E+01  0.1828220647765679E+00
  0.2600000000000000E-03  0.4569376924172251E+01  0.1828220974847229E+00
  0.2700000000000000E-03  0.4569345326443970E+01  0.1828221314751310E+00
  0.2800000000000000E-03  0.4569312544762146E+01  0.1828221667478355E+00
  0.2900000000000000E-03  0.4569278580057376E+01  0.1828222033032620E+00
  0.3000000000000000E-03  0.4569243433294962E+01  0.1828222411405390E+00
  0.3100000000000000E-03  0.4569207105473306E+01  0.1828222802601829E+00
  0.3200000000000000E-03  0.4569169597621165E+01  0.1828223206620289E+00
  0.3300000000000000E-03  0.4569130910803078E+01  0.1828223623460457E+00
  0.3400000000000000E-03  0.4569091046114660E+01  0.1828224053121866E+00
  0.3500000000000000E-03  0.4569050004686972E+01  0.1828224495602164E+00
  0.3600000000000000E-03  0.4569007787680438E+01  0.1828224950901826E+00
  0.3700000000000000E-03  0.4568964396289677E+01  0.1828225419024439E+00
  0.3800000000000000E-03  0.4568919831743368E+01  0.1828225899965634E+00
  0.3900000000000000E-03  0.4568874095299724E+01  0.1828226393724126E+00
  0.4000000000000000E-03  0.4568827188252645E+01  0.1828226900301602E+00
  0.4100000000000000E-03  0.4568779111924826E+01  0.1828227419697714E+00
  0.4200000000000000E-03  0.4568729867673795E+01  0.1828227951910074E+00
  0.4300000000000000E-03  0.4568679456887740E+01  0.1828228496938464E+00
  0.4400000000000000E-03  0.4568627880988397E+01  0.1828229054782717E+00
  0.4500000000000000E-03  0.4568575141426924E+01  0.1828229625441420E+00
  0.4600000000000000E-03  0.4568521239688887E+01  0.1828230208918568E+00
  0.4700000000000000E-03  0.4568466177290508E+01  0.1828230805208578E+00
  0.4800000000000000E-03  0.4568409955778169E+01  0.1828231414311011E+00
  0.4900000000000000E-03  0.4568352576732380E+01  0.1828232036227782E+00
  0.5000000000000000E-03  0.4568294041763551E+01  0.1828232670957858E+00
  0.5100000000000000E-03  0.4568234352512609E+01  0.1828233318497704E+00
  0.5200000000000000E-03  0.4568173510652405E+01  0.1828233978848791E+00
  0.5300000000000000E-03  0.4568111517887057E+01  0.1828234652011590E+00
  0.5400000000000000E-03  0.4568048375951491E+01  0.1828235337985328E+00
  0.5500000000000000E-03  0.4567984086610546E+01  0.1828236036765999E+00
  0.5600000000000000E-03  0.4567918651661273E+01  0.1828236748356738E+00
  0.5700000000000000E-03  0.4567852072928919E+01  0.1828237472754453E+00
  0.5800000000000000E-03  0.4567784352270858E+01  0.1828238209958043E+00
  0.5900000000000000E-03  0.4567715491575346E+01  0.1828238959970143E+00
  0.5999999999999999E-03  0.4567645492758103E+01  0.1828239722785968E+00
  0.6100000000000000E-03  0.4567574357765456E+01  0.1828240498406662E+00
  0.6200000000000000E-03  0.4567502088576991E+01  0.1828241286831206E+00
  0.6300000000000000E-03  0.4567428687198301E+01  0.1828242088059753E+00
  0.6400000000000001E-03  0.4567354155663470E+01  0.1828242902090356E+00
  0.6500000000000000E-03  0.4567278496040525E+01  0.1828243728920066E+00
  0.6600000000000000E-03  0.4567201710423428E+01  0.1828244568552707E+00
  0.6700000000000000E-03  0.4567123800936320E+01  0.1828245420985279E+00
  0.6800000000000000E-03  0.4567044769731022E+01  0.1828246286216976E+00
  0.6900000000000000E-03  0.4566964618989469E+01  0.1828247164246400E+00
  0.7000000000000000E-03  0.4566883350922500E+01  0.1828248055071136E+00
