          #r                      rho1                    rho2
  0.0000000000000000E+00  0.2262612669342012E+10  0.4570127870025672E+01
  0.1000000000000000E-04  0.2327861986278828E+10  0.4570127276637393E+01
  0.2000000000000000E-04  0.2519422730580267E+10  0.4570125496487663E+01
  0.3000000000000000E-04  0.2825051086122069E+10  0.4570122529627180E+01
  0.4000000000000000E-04  0.3225401288270724E+10  0.4570118376140428E+01
  0.5000000000000000E-04  0.3695605851974554E+10  0.4570113036144543E+01
  0.6000000000000000E-04  0.4207373816364842E+10  0.4570106509790913E+01
  0.6999999999999999E-04  0.4731359785120918E+10  0.4570098797263896E+01
  0.8000000000000001E-04  0.5239491617492299E+10  0.4570089898781845E+01
  0.9000000000000001E-04  0.5706958678482288E+10  0.4570079814595938E+01
  0.1000000000000000E-03  0.6113643391375463E+10  0.4570068544991727E+01
  0.1100000000000000E-03  0.6444904862334643E+10  0.4570056090288840E+01
  0.1200000000000000E-03  0.6691744507948071E+10  0.4570042450836662E+01
  0.1300000000000000E-03  0.6850466082393908E+10  0.4570027627023720E+01
  0.1400000000000000E-03  0.6921980917590561E+10  0.4570011619267220E+01
  0.1500000000000000E-03  0.6910912259716414E+10  0.4569994428020138E+01
  0.1600000000000000E-03  0.6824632484343569E+10  0.4569976053768642E+01
  0.1700000000000000E-03  0.6672335060723206E+10  0.4569956497029987E+01
  0.1800000000000000E-03  0.6464208420491280E+10  0.4569935758357815E+01
  0.1900000000000000E-03  0.6210747772523191E+10  0.4569913838337442E+01
  0.2000000000000000E-03  0.5922216733991194E+10  0.4569890737587595E+01
  0.2100000000000000E-03  0.5608254055308779E+10  0.4569866456760086E+01
  0.2200000000000000E-03  0.5277610678398294E+10  0.4569840996538663E+01
  0.2300000000000000E-03  0.4937997238309619E+10  0.4569814357643253E+01
  0.2400000000000000E-03  0.4596020385527314E+10  0.4569786540822538E+01
  0.2500000000000000E-03  0.4257186796684591E+10  0.4569757546862594E+01
  0.2600000000000000E-03  0.3925955613881524E+10  0.4569727376578399E+01
  0.2700000000000000E-03  0.3605822718809343E+10  0.4569696030819823E+01
  0.2800000000000000E-03  0.3299423265302569E+10  0.4569663510470268E+01
  0.2900000000000000E-03  0.3008641938695925E+10  0.4569629816443713E+01
  0.3000000000000000E-03  0.2734723240192730E+10  0.4569594949687840E+01
  0.3100000000000000E-03  0.2478376553883323E+10  0.4569558911183965E+01
  0.3200000000000000E-03  0.2239872764866300E+10  0.4569521701942780E+01
  0.3300000000000000E-03  0.2019130741995716E+10  0.4569483323010350E+01
  0.3400000000000000E-03  0.1815793114275978E+10  0.4569443775465071E+01
  0.3500000000000000E-03  0.1629291518525270E+10  0.4569403060414767E+01
  0.3600000000000000E-03  0.1458901954869330E+10  0.4569361179003503E+01
  0.3700000000000000E-03  0.1303791131880366E+10  0.4569318132402633E+01
  0.3800000000000000E-03  0.1163054781450347E+10  0.4569273921820591E+01
  0.3900000000000000E-03  0.1035748928472409E+10  0.4569228548493844E+01
  0.4000000000000000E-03  0.9209150515786710E+09  0.4569182013692530E+01
  0.4100000000000000E-03  0.8175999956072466E+09  0.4569134318717762E+01
  0.4200000000000000E-03  0.7248714112059053E+09  0.4569085464902884E+01
  0.4300000000000000E-03  0.6418294117145388E+09  0.4569035453613125E+01
  0.4400000000000000E-03  0.5676150570424087E+09  0.4568984286244245E+01
  0.4500000000000000E-03  0.5014162005025326E+09  0.4568931964222837E+01
  0.4600000000000000E-03  0.4424711677338850E+09  0.4568878489009464E+01
  0.4700000000000000E-03  0.3900706764539962E+09  0.4568823862092903E+01
  0.4800000000000000E-03  0.3435583511713417E+09  0.4568768084994062E+01
  0.4900000000000000E-03  0.3023301375313812E+09  0.4568711159264524E+01
  0.5000000000000000E-03  0.2658328762006010E+09  0.4568653086488041E+01
  0.5100000000000000E-03  0.2335622557815483E+09  0.4568593868276555E+01
  0.5200000000000000E-03  0.2050603279744279E+09  0.4568533506276130E+01
  0.5300000000000000E-03  0.1799127358877915E+09  0.4568472002158525E+01
  0.5400000000000000E-03  0.1577457778955987E+09  0.4568409357630074E+01
  0.5500000000000000E-03  0.1382234045684728E+09  0.4568345574426194E+01
  0.5600000000000000E-03  0.1210442247709284E+09  0.4568280654311157E+01
  0.5700000000000000E-03  0.1059385787778483E+09  0.4568214599080714E+01
  0.5800000000000000E-03  0.9266572095724778E+08  0.4568147410559338E+01
  0.5900000000000000E-03  0.8101114190679446E+08  0.4568079090601263E+01
  0.5999999999999999E-03  0.7078404962309405E+08  0.4568009641091114E+01
  0.6100000000000000E-03  0.6181502103055758E+08  0.4567939063942466E+01
  0.6200000000000000E-03  0.5395382871554904E+08  0.4567867361099577E+01
  0.6300000000000000E-03  0.4706744273309296E+08  0.4567794534532733E+01
  0.6400000000000001E-03  0.4103820363120199E+08  0.4567720586244756E+01
  0.6500000000000000E-03  0.3576216015019091E+08  0.4567645518265238E+01
  0.6600000000000000E-03  0.3114756320565998E+08  0.4567569332653084E+01
  0.6700000000000000E-03  0.2711350658470899E+08  0.4567492031495306E+01
  0.6800000000000000E-03  0.2358870413088184E+08  0.4567413616907885E+01
  0.6900000000000000E-03  0.2051039294299176E+08  0.4567334091035700E+01
  0.7000000000000000E-03  0.1782335216592569E+08  0.4567253456050698E+01
  0.7100000000000000E-03  0.1547902722585654E+08  0.4567171714153493E+01
  0.7200000000000000E-03  0.1343474979213737E+08  0.4567088867571385E+01
  0.7300000000000000E-03  0.1165304428135536E+08  0.4567004918562172E+01
  0.7400000000000000E-03  0.1010101231489839E+08  0.4566919869407926E+01
  0.7500000000000000E-03  0.8749787168782046E+07  0.4566833722419839E+01
  0.7600000000000000E-03  0.7574050890009787E+07  0.4566746479935854E+01
  0.7700000000000000E-03  0.6551607380263878E+07  0.4566658144320556E+01
  0.7800000000000000E-03  0.5663005353098603E+07  0.4566568717967054E+01
  0.7900000000000000E-03  0.4891205646787088E+07  0.4566478203293268E+01
  0.8000000000000000E-03  0.4221287916335084E+07  0.4566386602744235E+01
  0.8100000000000000E-03  0.3640192231998058E+07  0.4566293918791691E+01
  0.8200000000000000E-03  0.3136491576724217E+07  0.4566200153933015E+01
  0.8300000000000000E-03  0.2700191661358630E+07  0.4566105310692786E+01
  0.8400000000000000E-03  0.2322554865146025E+07  0.4566009391619758E+01
  0.8500000000000000E-03  0.1995945461645735E+07  0.4565912399289185E+01
  0.8600000000000000E-03  0.1713693608606875E+07  0.4565814336302765E+01
  0.8700000000000000E-03  0.1469975866872786E+07  0.4565715205285433E+01
  0.8800000000000000E-03  0.1259710270335120E+07  0.4565615008889442E+01
  0.8899999999999999E-03  0.1078464198713509E+07  0.4565513749789450E+01
  0.9000000000000000E-03  0.9223735098352672E+06  0.4565411430686718E+01
  0.9100000000000000E-03  0.7880715703893144E+06  0.4565308054308223E+01
  0.9200000000000000E-03  0.6726269859783686E+06  0.4565203623401672E+01
  0.9300000000000001E-03  0.5734889747135879E+06  0.4565098140741658E+01
  0.9400000000000000E-03  0.4884394554675148E+06  0.4564991609126182E+01
  0.9500000000000000E-03  0.4155510339621261E+06  0.4564884031377105E+01
  0.9600000000000000E-03  0.3531501687139765E+06  0.4564775410339696E+01
  0.9700000000000001E-03  0.2997848859425436E+06  0.4564665748882466E+01
  0.9800000000000000E-03  0.2541964891916365E+06  0.4564555049897312E+01
  0.9900000000000000E-03  0.2152947768100789E+06  0.4564443316299365E+01
  0.1000000000000000E-02  0.1821363396604623E+06  0.4564330551026401E+01
  0.1010000000000000E-02  0.1539055634357433E+06  0.4564216757038731E+01
  0.1020000000000000E-02  0.1298980056224034E+06  0.4564101937319587E+01
  0.1030000000000000E-02  0.1095058572209998E+06  0.4563986094872599E+01
  0.1040000000000000E-02  0.9220523449951463E+05  0.4563869232726806E+01
  0.1050000000000000E-02  0.7754507691317514E+05  0.4563751353928784E+01
  0.1060000000000000E-02  0.6513745440724379E+05  0.4563632461550928E+01
  0.1070000000000000E-02  0.5464911109413668E+05  0.4563512558683205E+01
  0.1080000000000000E-02  0.4579409317410730E+05  0.4563391648439217E+01
  0.1090000000000000E-02  0.3832732730999209E+05  0.4563269733952869E+01
  0.1100000000000000E-02  0.3203903178683612E+05  0.4563146818378911E+01
  0.1110000000000000E-02  0.2674985696259867E+05  0.4563022904892222E+01
  0.1120000000000000E-02  0.2230666398767690E+05  0.4562897996688601E+01
  0.1130000000000000E-02  0.1857886174907921E+05  0.4562772096983021E+01
  0.1140000000000000E-02  0.1545523166327461E+05  0.4562645209010848E+01
  0.1150000000000000E-02  0.1284117846006390E+05  0.4562517336027601E+01
  0.1160000000000000E-02  0.1065635260787290E+05  0.4562388481308337E+01
  0.1170000000000000E-02  0.8832596650404861E+04  0.4562258648145838E+01
  0.1180000000000000E-02  0.7312173561951677E+04  0.4562127839852991E+01
  0.1190000000000000E-02  0.6046240376740308E+04  0.4561996059761488E+01
  0.1200000000000000E-02  0.4993534887782705E+04  0.4561863311222045E+01
  0.1210000000000000E-02  0.4119247214014681E+04  0.4561729597602763E+01
  0.1220000000000000E-02  0.3394051563552382E+04  0.4561594922290117E+01
  0.1230000000000000E-02  0.2793276630594568E+04  0.4561459288688819E+01
  0.1240000000000000E-02  0.2296195802225062E+04  0.4561322700220761E+01
  0.1250000000000000E-02  0.1885420761783178E+04  0.4561185160326086E+01
  0.1260000000000000E-02  0.1546384195266237E+04  0.4561046672461065E+01
  0.1270000000000000E-02  0.1266899169760809E+04  0.4560907240099525E+01
  0.1280000000000000E-02  0.1036784387728837E+04  0.4560766866732649E+01
  0.1290000000000000E-02  0.8475459543273296E+03  0.4560625555866314E+01
  0.1300000000000000E-02  0.6921075501122609E+03  0.4560483311026711E+01
  0.1310000000000000E-02  0.5645819991753071E+03  0.4560340135750465E+01
  0.1320000000000000E-02  0.4600781814026926E+03  0.4560196033594053E+01
  0.1330000000000000E-02  0.3745380735128797E+03  0.4560051008128089E+01
  0.1340000000000000E-02  0.3045994313989579E+03  0.4559905062940776E+01
  0.1350000000000000E-02  0.2474802590364880E+03  0.4559758201630937E+01
  0.1360000000000000E-02  0.2008817583421081E+03  0.4559610427816480E+01
  0.1370000000000000E-02  0.1629069301201614E+03  0.4559461745128227E+01
  0.1380000000000000E-02  0.1319924076994351E+03  0.4559312157211825E+01
  0.1390000000000000E-02  0.1068514600945392E+03  0.4559161667726954E+01
  0.1400000000000000E-02  0.8642640765725112E+02  0.4559010280347654E+01
  0.1410000000000000E-02  0.6984895651651196E+02  0.4558857998761283E+01
  0.1420000000000000E-02  0.5640718420556993E+02  0.4558704826668399E+01
  0.1430000000000000E-02  0.4551810264353202E+02  0.4558550767784250E+01
  0.1440000000000000E-02  0.3670489038773606E+02  0.4558395825835267E+01
  0.1450000000000000E-02  0.2957802758746621E+02  0.4558240004562568E+01
  0.1460000000000000E-02  0.2381968766386387E+02  0.4558083307717411E+01
  0.1470000000000000E-02  0.1917084231371440E+02  0.4557925739066960E+01
  0.1480000000000000E-02  0.1542062351436958E+02  0.4557767302385462E+01
  0.1490000000000000E-02  0.1239755999422213E+02  0.4557608001463758E+01
  0.1500000000000000E-02  0.9962368039384447E+01  0.4557447840103241E+01
  0.1510000000000000E-02  0.8002029189136543E+01  0.4557286822114023E+01
  0.1520000000000000E-02  0.6424931762767700E+01  0.4557124951320120E+01
  0.1530000000000000E-02  0.5156890494509585E+01  0.4556962231554995E+01
  0.1540000000000000E-02  0.4137889895231659E+01  0.4556798666664544E+01
  0.1550000000000000E-02  0.3319423223201604E+01  0.4556634260501767E+01
  0.1560000000000000E-02  0.2662320914567220E+01  0.4556469016934145E+01
  0.1570000000000000E-02  0.2134980666868789E+01  0.4556302939834883E+01
  0.1580000000000000E-02  0.1711926657086205E+01  0.4556136033090922E+01
  0.1590000000000000E-02  0.1372638095763428E+01  0.4555968300594860E+01
  0.1600000000000000E-02  0.1100597883699920E+01  0.4555799746251263E+01
  0.1610000000000000E-02  0.8825208976616629E+00  0.4555630373972837E+01
  0.1620000000000000E-02  0.7077286826472576E+00  0.4555460187680505E+01
  0.1630000000000000E-02  0.5676433203462179E+00  0.4555289191303321E+01
  0.1640000000000000E-02  0.4553781870076654E+00  0.4555117388781611E+01
  0.1650000000000000E-02  0.3654073858753319E+00  0.4554944784059761E+01
  0.1660000000000000E-02  0.2932989879882970E+00  0.4554771381092347E+01
