         #eta                     f1                      f12
  0.0000000000000000E+00  0.4501301793712702E-02  0.1887734400526912E-01
  0.1000000000000000E-04  0.4501301793660854E-02  0.1887734400804779E-01
  0.2000000000000000E-04  0.4501301793490804E-02  0.1887734401633227E-01
  0.3000000000000000E-04  0.4501301793249739E-02  0.1887734403026601E-01
  0.4000000000000000E-04  0.4501301792898278E-02  0.1887734404966620E-01
  0.5000000000000000E-04  0.4501301792428136E-02  0.1887734407460329E-01
  0.6000000000000000E-04  0.4501301791874209E-02  0.1887734410489491E-01
  0.6999999999999999E-04  0.4501301791203042E-02  0.1887734414074697E-01
  0.8000000000000001E-04  0.4501301790438395E-02  0.1887734418238241E-01
  0.9000000000000001E-04  0.4501301789598251E-02  0.1887734422921665E-01
  0.1000000000000000E-03  0.4501301788652638E-02  0.1887734428214083E-01
  0.1100000000000000E-03  0.4501301787567136E-02  0.1887734434000269E-01
  0.1200000000000000E-03  0.4501301786396998E-02  0.1887734440376369E-01
  0.1300000000000000E-03  0.4501301785143778E-02  0.1887734447294568E-01
  0.1400000000000000E-03  0.4501301783749486E-02  0.1887734454771180E-01
  0.1500000000000000E-03  0.4501301782297055E-02  0.1887734462810808E-01
  0.1600000000000000E-03  0.4501301780711287E-02  0.1887734471393706E-01
  0.1700000000000000E-03  0.4501301779058609E-02  0.1887734480518570E-01
  0.1800000000000000E-03  0.4501301777289061E-02  0.1887734490210891E-01
  0.1900000000000000E-03  0.4501301775380255E-02  0.1887734500427237E-01
  0.2000000000000000E-03  0.4501301773428112E-02  0.1887734511227842E-01
  0.2100000000000000E-03  0.4501301771352328E-02  0.1887734522572900E-01
  0.2200000000000000E-03  0.4501301769171000E-02  0.1887734534488938E-01
  0.2300000000000000E-03  0.4501301766896078E-02  0.1887734546934731E-01
  0.2400000000000000E-03  0.4501301764512060E-02  0.1887734559934214E-01
  0.2500000000000000E-03  0.4501301762014058E-02  0.1887734573503197E-01
  0.2600000000000000E-03  0.4501301759421095E-02  0.1887734587639445E-01
  0.2700000000000000E-03  0.4501301756751268E-02  0.1887734602285995E-01
  0.2800000000000000E-03  0.4501301753972749E-02  0.1887734617522607E-01
  0.2900000000000000E-03  0.4501301751078620E-02  0.1887734633288899E-01
  0.3000000000000000E-03  0.4501301748084348E-02  0.1887734649620369E-01
  0.3100000000000000E-03  0.4501301744990749E-02  0.1887734666509496E-01
  0.3200000000000000E-03  0.4501301741790309E-02  0.1887734683922648E-01
  0.3300000000000000E-03  0.4501301738509748E-02  0.1887734701935499E-01
  0.3400000000000000E-03  0.4501301735114538E-02  0.1887734720468289E-01
  0.3500000000000000E-03  0.4501301731614412E-02  0.1887734739573406E-01
  0.3600000000000000E-03  0.4501301728013329E-02  0.1887734759216212E-01
  0.3700000000000000E-03  0.4501301724293601E-02  0.1887734779426594E-01
  0.3800000000000000E-03  0.4501301720503410E-02  0.1887734800182939E-01
  0.3900000000000000E-03  0.4501301716615040E-02  0.1887734821491464E-01
  0.4000000000000000E-03  0.4501301712609355E-02  0.1887734843354509E-01
  0.4100000000000000E-03  0.4501301708480732E-02  0.1887734865761992E-01
  0.4200000000000000E-03  0.4501301704271506E-02  0.1887734888747931E-01
  0.4300000000000000E-03  0.4501301699968947E-02  0.1887734912276991E-01
  0.4400000000000000E-03  0.4501301695573723E-02  0.1887734936352518E-01
  0.4500000000000000E-03  0.4501301691070769E-02  0.1887734960987760E-01
  0.4600000000000000E-03  0.4501301686438179E-02  0.1887734986178631E-01
  0.4700000000000000E-03  0.4501301681715771E-02  0.1887735011895764E-01
  0.4800000000000000E-03  0.4501301676906359E-02  0.1887735038212668E-01
  0.4900000000000000E-03  0.4501301672004909E-02  0.1887735065060555E-01
  0.5000000000000000E-03  0.4501301666968345E-02  0.1887735092447314E-01
  0.5100000000000000E-03  0.4501301661881711E-02  0.1887735120392427E-01
  0.5200000000000000E-03  0.4501301656655743E-02  0.1887735148897359E-01
  0.5300000000000000E-03  0.4501301651312721E-02  0.1887735177965411E-01
  0.5400000000000000E-03  0.4501301645909154E-02  0.1887735207597663E-01
  0.5500000000000000E-03  0.4501301640367513E-02  0.1887735237747841E-01
  0.5600000000000000E-03  0.4501301634759036E-02  0.1887735268480488E-01
  0.5700000000000000E-03  0.4501301629001124E-02  0.1887735299740993E-01
  0.5800000000000000E-03  0.4501301623187144E-02  0.1887735331561598E-01
  0.5900000000000000E-03  0.4501301617265400E-02  0.1887735363967795E-01
  0.5999999999999999E-03  0.4501301611224269E-02  0.1887735396877973E-01
  0.6100000000000000E-03  0.4501301605096504E-02  0.1887735430379752E-01
  0.6200000000000000E-03  0.4501301598856792E-02  0.1887735464426340E-01
  0.6300000000000000E-03  0.4501301592522229E-02  0.1887735499015841E-01
  0.6400000000000001E-03  0.4501301586068318E-02  0.1887735534166968E-01
  0.6500000000000000E-03  0.4501301579536284E-02  0.1887735569870630E-01
  0.6600000000000000E-03  0.4501301572900148E-02  0.1887735606139440E-01
  0.6700000000000000E-03  0.4501301566175305E-02  0.1887735642945998E-01
  0.6800000000000000E-03  0.4501301559334776E-02  0.1887735680312271E-01
  0.6900000000000000E-03  0.4501301552387371E-02  0.1887735718221754E-01
  0.7000000000000000E-03  0.4501301545341341E-02  0.1887735756685061E-01
  0.7100000000000000E-03  0.4501301538201015E-02  0.1887735795729458E-01
  0.7200000000000000E-03  0.4501301530923874E-02  0.1887735835301567E-01
  0.7300000000000000E-03  0.4501301523584448E-02  0.1887735875435418E-01
  0.7400000000000000E-03  0.4501301516132594E-02  0.1887735916093636E-01
  0.7500000000000000E-03  0.4501301508587481E-02  0.1887735957345689E-01
  0.7600000000000000E-03  0.4501301500944743E-02  0.1887735999132782E-01
