         #eta                 varrho1                 varrho2
  0.0000000000000000E+00  0.9163961067108567E-02  0.2710448348738737E+01
  0.1000000000000000E-04  0.9163961067078700E-02  0.2710448344888514E+01
  0.2000000000000000E-04  0.9163961066566254E-02  0.2710448333338983E+01
  0.3000000000000000E-04  0.9163961065880567E-02  0.2710448314089641E+01
  0.4000000000000000E-04  0.9163961064838477E-02  0.2710448287140016E+01
  0.5000000000000000E-04  0.9163961063496921E-02  0.2710448252490371E+01
  0.6000000000000000E-04  0.9163961062039013E-02  0.2710448210140877E+01
  0.6999999999999999E-04  0.9163961060268512E-02  0.2710448160091971E+01
  0.8000000000000001E-04  0.9163961058154629E-02  0.2710448102343406E+01
  0.9000000000000001E-04  0.9163961055741219E-02  0.2710448036894661E+01
  0.1000000000000000E-03  0.9163961053028148E-02  0.2710447963746153E+01
  0.1100000000000000E-03  0.9163961050072347E-02  0.2710447882897919E+01
  0.1200000000000000E-03  0.9163961046873762E-02  0.2710447794348776E+01
  0.1300000000000000E-03  0.9163961043318944E-02  0.2710447698101755E+01
  0.1400000000000000E-03  0.9163961039534114E-02  0.2710447594153114E+01
  0.1500000000000000E-03  0.9163961035493818E-02  0.2710447482506121E+01
  0.1600000000000000E-03  0.9163961031109814E-02  0.2710447363158361E+01
  0.1700000000000000E-03  0.9163961026483040E-02  0.2710447236110847E+01
  0.1800000000000000E-03  0.9163961021499941E-02  0.2710447101363722E+01
  0.1900000000000000E-03  0.9163961016400463E-02  0.2710446958916511E+01
  0.2000000000000000E-03  0.9163961010931886E-02  0.2710446808769897E+01
  0.2100000000000000E-03  0.9163961005220437E-02  0.2710446650923255E+01
  0.2200000000000000E-03  0.9163960999108735E-02  0.2710446485376347E+01
  0.2300000000000000E-03  0.9163960992754214E-02  0.2710446312129875E+01
  0.2400000000000000E-03  0.9163960986100093E-02  0.2710446131184000E+01
  0.2500000000000000E-03  0.9163960979216203E-02  0.2710445942538068E+01
  0.2600000000000000E-03  0.9163960972120789E-02  0.2710445746192041E+01
  0.2700000000000000E-03  0.9163960964751396E-02  0.2710445542146601E+01
  0.2800000000000000E-03  0.9163960957025289E-02  0.2710445330400641E+01
  0.2900000000000000E-03  0.9163960948873489E-02  0.2710445110955372E+01
  0.3000000000000000E-03  0.9163960940718974E-02  0.2710444883810339E+01
